,Train Loss,Valid Loss
0,1.580886599345085,1.4919595833747619
1,1.3294382668458498,1.3268404083867227
2,1.2255738102472746,1.1950568922104374
3,1.1472708598161354,1.1427919518563054
4,1.057769317466479,1.0509556954906834
5,0.9916422877174157,0.9991725298666185
6,0.948198102414608,0.9502524041360424
7,0.852939401490566,0.8901351863338102
8,0.806833487481643,0.8492203316380901
9,0.7466306588970698,0.8164390960047322
10,0.6469306657329584,0.7863681566330695
11,0.6751563093410089,0.8214522677083169
12,0.620725138256183,0.779778447843367
13,0.5293489790115601,0.7644214149444334
14,0.492722391604613,0.761054362020185
15,0.4462869799672029,0.7637943221676734
16,0.42057931528259546,0.7651181990100492
17,0.39332273745766055,0.7744270255488734
18,0.38124551385259015,0.7793932787833675
19,0.36467752882685417,0.7767762580225545
20,0.3577958329174763,0.7792647750146927
21,0.3503659326487627,0.7916997382717748
22,0.3467966638600979,0.7799250637331316
23,0.34338278046403176,0.786925575425548
24,0.34178874851801455,0.7929667099829643
25,0.34033460633303875,0.7826012969017029
26,0.3376290001070652,0.7864050672900292
27,0.339000526863413,0.7839358429754933
28,0.3367761785689837,0.7902658908597885
29,0.3353429368386666,0.7832576844000048
